PEDS 546 Exit Exam - C2016 - 20141002,,,,,,,,,,,,,,,,,,,,,,,,,
Raw MCQ data for group: Class of 2016 Med (6576|4),,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
Question Identifier,Category,Question Type,Correct Response,Weight,Response Data,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
User Identifiers,User Identifiers, , , ,6622,6635,6639,6647,6656,6659,6665,6670,6679,6686,6688,6691,6702,6705,6717,6718,6737,6758,6760,6761,6764
HOMER_QUIZ_1052803,1052803,MULTICHOICE,2,1,2,2,3,2,4,3,2,2,2,2,3,3,2,3,2,2,4,2,2,2,2
HOMER_QUIZ_1052804,1052804,MULTICHOICE,5,1,5,5,5,5,5,5,5,5,5,5,5,3,5,5,5,5,5,5,5,5,5
HOMER_QUIZ_1052805,1052805,MULTICHOICE,5,1,5,5,5,5,5,2,5,5,5,5,5,5,5,5,5,2,5,5,5,5,5
HOMER_QUIZ_1052806,1052806,MULTICHOICE,5,1,5,5,5,4,5,5,5,5,5,5,5,4,4,5,4,5,5,5,5,5,5
HOMER_QUIZ_1052807,1052807,MULTICHOICE,4,1,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
HOMER_QUIZ_1052808,1052808,MULTICHOICE,4,1,4,1,1,4,4,5,4,4,4,4,4,1,4,1,4,4,4,4,4,4,4
HOMER_QUIZ_1052809,1052809,MULTICHOICE,3,1,3,3,3,3,4,3,3,3,3,3,3,3,3,3,3,1,3,3,3,3,3
HOMER_QUIZ_1052810,1052810,MULTICHOICE,3,1,3,2,3,3,4,3,2,4,4,4,4,1,3,5,4,3,3,3,3,3,4
HOMER_QUIZ_1052811,1052811,MULTICHOICE,5,1,5,5,2,2,5,5,5,2,5,2,5,5,2,5,5,5,5,2,5,2,5
HOMER_QUIZ_1052812,1052812,MULTICHOICE,2,1,2,2,2,2,3,5,2,2,2,2,2,2,2,3,2,2,2,3,4,2,2
HOMER_QUIZ_1052813,1052813,MULTICHOICE,1,1,1,1,4,1,4,1,4,1,3,2,3,3,3,5,1,3,1,1,4,1,1
