OBGYN 546 Obs & Gyn Clerkship Exit Exam - 20140109,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Raw MCQ data for group: Class of 2015 Med (5614|4),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Question Identifier,Category,Question Type,Correct Response,Weight,Response Data,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
User Identifiers, , , , ,5718,5723,5734,5748,5755,5761,5771,5790,5799,5805,5834,5839,5874,5895,5897,5920,5926,5719,5724,5731,5774,5781,5784,5787,5825,5833,5843,5851,5854,5876,5904,5922,5930,5001,5189,5720,5722,5732,5735,5744,5764,5766,5770,5803,5807,5808,5810,5812,5841,5845,5857,5866,5869,5891,5924,5927,2930,5169,5725,5726,5733,5757,5767,5775,5778,5779,5811,5818,5822,5836,5858,5883,5915,5923,5729,5742,5749,5789,5792,5806,5819,5820,5823,5838,5855,5856,5880,5884,5892,5900,5925,4488,5110,5730,5736,5739,5741,5772,5793,5800,5809,5814,5816,5830,5846,5848,5859,5871,5872,5919,5931,5750,5751,5753,5763,5791,5801,5821,5860,5865,5886,5893,5896,5898,5899,5901,5917,5918,5921
HOMER_QUIZ_1044546,,MULTICHOICE,3,1,3,3,3,3,4,3,3,3,4,3,3,3,3,3,4,4,3,4,3,4,3,3,3,3,3,3,3,3,4,3,3,3,3,3,3,3,4,3,3,3,3,3,4,3,3,3,3,3,3,3,3,3,3,4,3,4,3,3,3,4,3,3,3,4,3,3,3,3,3,3,3,3,3,3,4,3,3,4,3,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,3,3,3,4,3,3,3,3,4,3,3,3,3
HOMER_QUIZ_1044547,,MULTICHOICE,4,1,4,4,4,4,4,4,4,4,4,7,4,4,4,4,4,4,4,4,4,2,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,1,4,4,4,4,4,1,4,4,4,4,4,1,4,4,4,4,4,4,4,4,4,1,4,2,4,4,4,4,4,4,4,4,4,4,2,4,4,4,4,4,3,4,4,3,4,4,4,1,4,4,4,4,4,4,3,4,4,4,4,2,4,4,4,4,4,4,4,4,4,4,4
HOMER_QUIZ_1044550,,MULTICHOICE,4,1,2,4,2,2,2,4,2,1,1,1,2,4,2,2,4,2,2,2,3,1,2,4,4,2,2,2,2,2,2,4,4,2,2,4,4,1,2,2,2,3,2,3,2,2,4,1,2,4,2,4,2,2,2,2,2,2,4,1,2,2,4,1,4,2,4,2,4,2,2,4,4,2,2,2,2,2,2,2,2,4,1,2,1,4,4,1,4,2,2,2,4,2,2,4,4,2,2,1,4,1,4,4,4,2,2,2,2,1,2,1,4,2,4,2,4,2,4,2,1,4,2,2,2,2,3,4,2,2,3
HOMER_QUIZ_1044551,,MULTICHOICE,2,1,2,2,3,3,1,3,4,2,3,2,2,2,2,2,2,3,3,2,2,2,2,2,4,2,2,2,2,2,2,2,2,2,2,2,3,3,2,3,2,4,2,3,3,2,2,3,3,3,4,3,3,3,2,2,2,2,3,2,2,2,2,2,2,2,2,2,4,2,2,4,2,2,2,3,3,3,3,2,2,4,2,2,4,4,2,3,4,3,4,3,3,3,2,3,2,2,2,2,3,2,3,2,2,3,2,3,2,3,3,2,3,2,2,2,2,3,3,3,3,4,4,3,4,3,4,2,3,2,2
HOMER_QUIZ_1044552,,MULTICHOICE,4,1,4,4,4,4,4,4,4,4,4,4,4,4,3,4,4,3,4,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,4,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,4,4,4,4,3,4,4,4,4,4,4,4,4,4,4,4,4,3,4,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
HOMER_QUIZ_1044553,,MULTICHOICE,2,1,2,2,2,1,2,1,2,1,2,1,2,1,1,1,2,4,5,1,1,2,2,2,1,2,2,1,2,2,2,2,2,2,2,1,1,2,2,2,2,2,1,2,2,2,2,2,2,3,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,4,2,3,2,2,2,2,2,1,2,2,2,2,2,2,2,1,2,2,2,1,2,1,2,1,2,1,2,2,1,1,2,2,2,2,2,2,2,2,1,2,2,2,2,2,1,2,2,2,2
HOMER_QUIZ_1044554,,MULTICHOICE,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,2,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
HOMER_QUIZ_1044555,,MULTICHOICE,3,1,3,3,3,3,3,3,3,3,3,3,3,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,3,3,3,3,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
HOMER_QUIZ_1044556,,MULTICHOICE,1,1,2,1,1,1,1,1,3,4,1,1,1,1,1,1,1,4,1,1,4,1,1,5,4,1,1,1,1,1,1,1,1,4,1,1,1,1,4,1,1,1,1,1,1,4,1,1,4,1,1,1,5,4,1,5,1,1,1,2,1,1,4,1,5,2,1,4,2,1,1,1,1,4,4,4,1,1,1,1,1,1,1,1,1,2,1,1,1,4,1,1,1,5,1,1,1,1,1,1,1,1,1,1,1,1,2,1,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1
